Algorithm,Time
Original_Murata_SF_S2,3281.8644
Original_Murata_SF_S3,3280.5318
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S1,1245.0645
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S1,1291.4726
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S3,1233.0969
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S2,1267.9926
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S3,1177.4136
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S3,1268.6138
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S1,1247.4123
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S2,1250.8601
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S3,1060.4184
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S1,1329.6240
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S1,1246.2543
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S2,1443.2989
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S3,1339.9547
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S1,1364.2911
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S2,1366.6293
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L1_drop0.3_S3,1006.0324
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S1,1340.4091
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S1,1456.7608
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L1_drop0.3_S2,1464.5294
