Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S2,47.9207,85.9729,96.1121,25.2792,88.6764,1.3907,5.7640,1.7068,114.2204,39.5768,1.8947,19.4424,52.1963,42.7918
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S1,22.0736,40.6379,47.9606,11.6106,40.4986,0.6369,2.5698,0.7930,55.8363,19.9113,0.9050,8.8954,23.3583,21.2151
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L2_drop0.3_S3,47.9207,85.9729,96.1121,25.2792,88.6764,1.3907,5.7640,1.7068,114.2204,39.5768,1.8947,19.4424,52.1963,42.7918
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S1,183.5584,325.5853,354.8754,96.9523,340.925,5.3402,22.3858,6.5137,425.9146,145.5459,7.1412,74.6909,202.4007,158.4983
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S3,183.5584,325.5853,354.8754,96.9523,340.925,5.3402,22.3858,6.5137,425.9146,145.5459,7.1412,74.6909,202.4007,158.4983
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L2_drop0.3_S2,183.5584,325.5853,354.8754,96.9523,340.925,5.3402,22.3858,6.5137,425.9146,145.5459,7.1412,74.6909,202.4007,158.4983
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L2_drop0.3_S3,13.0652,23.9835,28.1392,6.8745,23.9944,0.3772,1.5268,0.4689,32.8321,11.6722,0.5335,5.2692,13.8718,12.4558
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S3,22.0736,40.6379,47.9606,11.6106,40.4986,0.6369,2.5698,0.7930,55.8363,19.9113,0.9050,8.8954,23.3583,21.2151
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S3,81.3117,146.2477,164.3965,42.8816,150.3419,2.3583,9.7500,2.8986,194.9569,67.7526,3.2263,32.9684,88.3226,73.1446
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S1,47.0228,85.2521,97.479,24.7766,86.716,1.3614,5.5828,1.6806,114.8483,40.2790,1.8869,19.0263,50.6303,43.2815
